post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"Import Size #3 303x152",import-size-3-303x152,,64,,,publish,,13,"2021-12-29 12:16:42",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/import-size-3-303x152/,simple,,"Imported car number plate",,
"7 Character 408x87",7-character-408x87,,66,,,publish,,14,"2021-12-31 05:56:31",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-408x87/,simple,,"Imported car number plate",,
"7 Character 226x156",7-character-226x156,,67,,,publish,,15,"2021-12-31 05:59:30",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-226x156/,simple,,"Imported car number plate",,
"6 Character 354x87",6-character-354x87,,68,,,publish,,16,"2021-12-31 06:01:54",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/6-character-354x87/,simple,,"Imported car number plate",,
"6 Character With No.1 320x87",6-character-with-no-1-320x87,,69,,,publish,,17,"2021-12-31 06:04:15",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/6-character-with-no-1-320x87/,simple,,"Imported car number plate",,
"5 or 6 Character 172x156",5-or-6-character-172x156,,70,,,publish,,18,"2021-12-31 06:10:45",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-or-6-character-172x156/,simple,,"Imported car number plate",,
"5 Character 300x87",5-character-300x87,,73,,,publish,,19,"2021-12-31 06:14:30",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-character-300x87/,simple,,"Imported car number plate",,
"5 Character With No.1 266x87",5-character-with-no-1-266x87,,74,,,publish,,20,"2021-12-31 06:17:04",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-character-with-no-1-266x87/,simple,,"Imported car number plate",,
"7 Character 228x164",7-character-228x164,,75,,,publish,,8,"2021-12-31 06:20:06",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-228x164/,simple,,"Motorcycle &amp; ATV number plate",,
"7 Character With No.1 194x164",7-character-with-no-1-194x164,,76,,,publish,,9,"2021-12-31 06:23:06",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-with-no-1-194x164/,simple,,"Motorcycle &amp; ATV number plate",,
"5 or 6 Character 174x164",5-or-6-character-174x164,,77,,,publish,,10,"2021-12-31 06:24:54",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-or-6-character-174x164/,simple,,"Motorcycle &amp; ATV number plate",,
"7 Character 228x164 Profiled",7-character-228x164-profiled,,78,,,publish,,2,"2021-12-31 06:29:35",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-228x164-profiled/,simple,,"Profiled motorcycle plates",,
"7 Character With No.1 194x164 Profiled",7-character-with-no-1-194x164-profiled,,79,,,publish,,4,"2021-12-31 06:31:42",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-with-no-1-194x164-profiled/,simple,,"Profiled motorcycle plates",,
"5 Character 174x164 Profiled",5-character-174x164-profiled,,80,,,publish,,6,"2021-12-31 06:33:19",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-character-174x164-profiled/,simple,,"Profiled motorcycle plates",,
"5 Character 174x164 Profiled 2",5-character-174x164-profiled-2,,137,,,publish,,7,"2022-01-03 07:07:22",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-character-174x164-profiled-2/,simple,,"Profiled motorcycle plates",,
"7 Character With No.1 194x164 Profiled 2",7-character-with-no-1-194x164-profiled-2,,140,,,publish,,5,"2022-01-03 07:09:03",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-with-no-1-194x164-profiled-2/,simple,,"Profiled motorcycle plates",,
"7 Character 228x164 Profiled 2",7-character-228x164-profiled-2,,143,,,publish,,3,"2022-01-03 07:11:11",1,open,,,,no,no,,21,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-228x164-profiled-2/,simple,,"Profiled motorcycle plates",,
"7 Character 255x199",7-character-255x199,,192,,,publish,,22,"2022-01-20 11:17:12",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-255x199/,simple,,"UK car number plate",,
